"","team","rating","wins","losses","ties"
"1","ARI",-258.730108821979,3,13,0
"2","ATL",-64.2961597918899,7,9,0
"3","BAL",105.808393412424,10,6,0
"4","BUF",-110.781612776255,6,10,0
"5","CAR",-35.7056057351852,7,9,0
"6","CHI",214.777867502183,12,4,0
"7","CIN",-100.080479328252,6,10,0
"8","CLE",-20.4710470267473,7,8,1
"9","DAL",96.2462985388329,10,6,0
"10","DEN",-93.310552844339,6,10,0
"11","DET",-113.471019949077,6,10,0
"12","GB",-94.3690879456819,6,9,1
"13","HOU",150.037512163561,11,5,0
"14","IND",109.931111507376,10,6,0
"15","KC",199.987473394745,12,4,0
"16","MIA",-60.7816127762554,7,9,0
"17","MIN",42.4297253356623,8,7,1
"18","NE",145.574371136559,11,5,0
"19","NO",264.294394264815,13,3,0
"20","NYG",-153.753701461167,5,11,0
"21","NYJ",-204.425628863441,4,12,0
"22","OAK",-200.012526605255,4,12,0
"23","PHI",50.948176861963,9,7,0
"24","PIT",79.9141553831976,9,6,1
"25","SEA",91.2698911780212,10,6,0
"26","SF",-196.71468847753,4,12,0
"27","TB",-164.29615979189,5,11,0
"28","TEN",59.9311115073758,9,7,0
"29","WAS",-49.051823138037,7,9,0
"30","JAX",-149.962487836439,5,11,0
"31","LAC",206.689447155661,12,4,0
"32","LA",253.28531152247,13,3,0
