"","team","PassPCT","RunPCT","SackPCT","PassDiff","RunDiff","SackDiff"
"1","ARI","55.2","38.77","6.03",-0.25,-1.72,1.97
"2","ATL","61.61","34.13","4.27",6.16,-6.36,0.21
"3","BAL","49.73","47.4","2.87",-5.72000000000001,6.91,-1.19
"4","BUF","50.15","45.75","4.1",-5.3,5.26,0.04
"5","CAR","56.16","40.44","3.4",0.709999999999994,-0.0500000000000043,-0.66
"6","CHI","51.75","44.94","3.3",-3.7,4.45,-0.76
"7","CIN","57.88","37.83","4.29",2.43,-2.66,0.23
"8","CLE","56.85","39.31","3.84",1.4,-1.18,-0.22
"9","DAL","52.28","42.18","5.54",-3.17,1.69,1.48
"10","DEN","58.33","38.29","3.37",2.88,-2.2,-0.69
"11","DET","56.9","39.05","4.04",1.45,-1.44,-0.0199999999999996
"12","GB","62.56","32.26","5.18",7.11,-8.23,1.12
"13","HOU","48.83","45.13","6.04",-6.62,4.64,1.98
"14","IND","61.49","36.8","1.72",6.04,-3.69,-2.34
"15","KC","59.19","38.07","2.74",3.73999999999999,-2.42,-1.32
"16","MIA","52.25","41.64","6.11",-3.2,1.15,2.05
"17","MIN","61.04","34.94","4.02",5.59,-5.55,-0.04
"18","NE","54.47","43.54","2",-0.980000000000004,3.05,-2.06
"19","NO","52.53","45.35","2.12",-2.92,4.86,-1.94
"20","NYG","59.53","35.7","4.77",4.08,-4.79,0.71
"21","NYJ","54.54","41.61","3.86",-0.910000000000004,1.12,-0.2
"22","OAK","56.29","38.38","5.32",0.839999999999996,-2.11,1.26
"23","PHI","57.98","38.04","3.99",2.52999999999999,-2.45,-0.0699999999999994
"24","PIT","66.06","31.64","2.29",10.61,-8.85,-1.77
"25","SEA","42.57","52.28","5.16",-12.88,11.79,1.1
"26","SF","53.58","41.59","4.83",-1.87,1.1,0.77
"27","TB","59.96","36.13","3.91",4.51,-4.36,-0.149999999999999
"28","TEN","47.15","47.8","5.05",-8.3,7.31,0.99
"29","WAS","52.87","42.44","4.69",-2.58000000000001,1.95,0.630000000000001
"30","JAX","53.75","40.96","5.29",-1.7,0.469999999999999,1.23
"31","LAC","55.22","41.15","3.62",-0.230000000000004,0.659999999999997,-0.44
"32","LA","54.41","42.43","3.16",-1.04000000000001,1.94,-0.899999999999999
